Y,hDays,,,,,,
0.2998,2.87,,,,,,
0.3103,2.88,,,,,,
0.3098,2.89,,,,,,
0.3133,2.9,,,,,,
0.3123,2.91,,,,,,
0.3075,2.94,,,,,,
0.3096,2.95,,,,,,
0.3028,2.96,,,,,,
0.3166,2.97,,,,,,
0.3269,2.98,,,,,,
0.3282,3.01,,,,,,
0.3197,3.02,,,,,,
0.3142,3.33,,,,,,
0.3147,3.34,,,,,,
0.3129,3.05,,,,,,
0.3074,3.08,,,,,,
0.3078,3.1,,,,,,
0.305,3.11,,,,,,
0.3103,3.12,,,,,,
0.3158,3.16,,,,,,
0.3014,3.17,,,,,,
0.3097,3.18,,,,,,
0.3119,3.19,,,,,,
0.3138,3.22,,,,,,
0.3103,3.23,,,,,,
0.3049,3.24,,,,,,
0.3082,3.25,,,,,,
0.3135,3.26,,,,,,
0.3294,3.29,,,,,,
0.33,3.3,,,,,,
0.3385,3.31,,,,,,
0.338,3.32,,,,,,
0.344,3.33,,,,,,
0.3093,3.38,,,,,,
0.3059,3.39,,,,,,
0.3136,3.4,,,,,,
0.3077,3.43,,,,,,
0.3097,3.44,,,,,,
0.3114,3.45,,,,,,
0.3027,3.46,,,,,,
0.2986,3.47,,,,,,
0.303,3.5,,,,,,
0.3042,3.51,,,,,,
0.3073,3.52,,,,,,
0.3159,3.53,,,,,,
0.305,3.54,,,,,,
0.3026,3.57,,,,,,
0.3165,3.58,,,,,,
0.3119,3.59,,,,,,
0.3168,3.6,,,,,,
0.3016,3.61,,,,,,
0.3079,3.64,,,,,,
0.3133,3.65,,,,,,
0.3162,3.66,,,,,,
0.3057,3.67,,,,,,
0.3066,3.68,,,,,,
0.3144,3.71,,,,,,
0.3156,3.72,,,,,,
0.3101,3.73,,,,,,
0.3104,3.75,,,,,,
0.3193,3.78,,,,,,
0.2981,3.79,,,,,,
0.3144,3.8,,,,,,
0.3148,3.81,,,,,,
0.3103,3.82,,,,,,
0.31,3.85,,,,,,
0.3131,3.86,,,,,,
0.3067,3.87,,,,,,
0.314,3.88,,,,,,
0.303,3.89,,,,,,
0.3094,3.92,,,,,,
0.3075,3.93,,,,,,
0.3092,3.94,,,,,,
0.3126,3.95,,,,,,
0.3156,3.96,,,,,,
0.3122,3.99,,,,,,
0.3093,4,,,,,,
0.3034,4.01,,,,,,
0.3145,4.02,,,,,,
0.2988,4.03,,,,,,
0.3014,4.06,,,,,,
0.3052,4.07,,,,,,
0.3125,4.08,,,,,,
0.2994,4.09,,,,,,
0.3042,4.1,,,,,,
0.3053,4.13,,,,,,
0.3095,4.14,,,,,,
0.3027,4.15,,,,,,
0.2994,4.16,,,,,,
0.3104,4.17,,,,,,
0.3056,4.2,,,,,,
0.3061,4.21,,,,,,
0.3005,4.22,,,,,,
0.3163,4.23,,,,,,
0.2999,4.24,,,,,,
0.2984,4.27,,,,,,
0.2872,4.28,,,,,,
0.3018,4.29,,,,,,
0.3119,4.3,,,,,,
0.3019,4.34,,,,,,
0.2865,4.35,,,,,,
0.2884,4.36,,,,,,
0.307,4.37,,,,,,
0.308,4.42,,,,,,
0.306,4.43,,,,,,
0.3103,4.44,,,,,,
0.3114,4.45,,,,,,
0.3009,4.48,,,,,,
0.3018,4.49,,,,,,
0.312,4.5,,,,,,
0.3021,4.51,,,,,,
0.2984,4.52,,,,,,
0.3028,4.55,,,,,,
0.3006,4.57,,,,,,
0.3178,4.58,,,,,,
0.2991,4.59,,,,,,
0.3084,4.64,,,,,,
0.309,4.65,,,,,,
0.3042,4.66,,,,,,
0.3152,4.69,,,,,,
0.3091,4.7,,,,,,
0.301,4.71,,,,,,
0.3024,4.72,,,,,,
0.2971,4.73,,,,,,
0.2932,4.76,,,,,,
0.3077,4.77,,,,,,
0.3115,4.78,,,,,,
0.2901,4.79,,,,,,
0.313,4.8,,,,,,
0.3151,4.83,,,,,,
0.3003,4.84,,,,,,
0.3062,4.85,,,,,,
0.298,4.86,,,,,,
0.3098,4.87,,,,,,
0.3061,4.9,,,,,,
0.3096,4.91,,,,,,
0.2903,4.92,,,,,,
0.308,4.93,,,,,,
0.3084,4.94,,,,,,
0.3169,4.97,,,,,,
0.3193,4.98,,,,,,
0.3136,4.99,,,,,,
0.3116,5,,,,,,
0.3161,5.01,,,,,,
0.3028,5.04,,,,,,
0.3059,5.05,,,,,,
0.3119,5.06,,,,,,
0.3038,5.07,,,,,,
0.3049,5.08,,,,,,
0.3128,5.11,,,,,,
0.3167,5.12,,,,,,
0.3085,5.13,,,,,,
0.3148,5.14,,,,,,
0.3131,5.15,,,,,,
0.3143,5.18,,,,,,
0.3067,5.19,,,,,,
0.3165,5.2,,,,,,
0.3039,5.21,,,,,,
0.307,5.25,,,,,,
0.3157,5.26,,,,,,
0.304,5.27,,,,,,
0.3089,5.28,,,,,,
0.3145,5.29,,,,,,
0.299,5.32,,,,,,
0.3129,5.33,,,,,,
0.3075,5.34,,,,,,
0.3016,5.35,,,,,,
0.3103,5.36,,,,,,
0.3064,5.39,,,,,,
0.312,5.4,,,,,,
0.303,5.41,,,,,,
0.3052,5.42,,,,,,
0.3029,5.43,,,,,,
0.3091,5.46,,,,,,
0.3076,5.47,,,,,,
