Period,Month,Year,Subscribers
1,12,1984,91600
2,6,1985,203600
3,12,1985,340213
4,6,1986,500000
5,12,1986,681825
6,6,1987,883779
7,12,1987,1230860
8,6,1988,1608700
9,12,1988,2060440
10,6,1989,2691790
11,12,1989,3500940
12,6,1990,4368690
13,12,1990,5283060
14,6,1991,6380050
15,12,1991,7557150
16,6,1992,8892540
17,12,1992,11032800
18,6,1993,13067300
19,12,1993,16009500
20,6,1994,19283300
21,12,1994,24134400
22,6,1995,28154415
23,12,1995,33785661
