Mar.Stat,Educgrp,Gender,Agegrp,Ethnicty,SES,PersIncm,FamIncm,Y1,Newspaper,Magazines,sqrtY3,lnMags1,AnyPaper,AvidReader
2,1,1,3,2,3,1,3,,6,0,0,0,1,0
1,7,1,15,2,1,8,6,5,12,5,2.236067977,1.791759469,1,1
1,3,2,14,2,4,3,4,4,7,1,1,0.693147181,1,0
1,1,1,18,7,7,1,1,6,0,0,0,0,0,0
1,2,2,12,2,1,5,7,5,6,6,2.449489743,1.945910149,1,0
1,5,1,14,2,2,7,7,5,6,10,3.16227766,2.397895273,1,0
1,8,1,13,3,2,1,4,1,6,6,2.449489743,1.945910149,1,0
1,4,2,13,2,1,1,4,5,1,4,2,1.609437912,1,0
1,5,1,13,2,3,4,5,2,1,13,3.605551275,2.63905733,1,0
1,5,1,11,2,3,3,5,2,6,1,1,0.693147181,1,0
1,3,2,18,2,5,1,3,3,6,7,2.645751311,2.079441542,1,0
1,2,2,16,2,4,3,3,6,6,3,1.732050808,1.386294361,1,0
2,2,1,15,2,4,1,1,1,0,12,3.464101615,2.564949357,0,0
2,3,1,14,2,5,2,3,2,6,7,2.645751311,2.079441542,1,0
2,5,1,11,2,7,1,1,2,6,7,2.645751311,2.079441542,1,0
1,8,2,17,2,1,6,6,1,6,9,3,2.302585093,1,0
1,7,1,20,1,1,4,3,6,6,5,2.236067977,1.791759469,1,0
3,1,2,20,2,3,1,1,6,6,1,1,0.693147181,1,0
2,1,2,20,2,5,1,1,6,6,2,1.414213562,1.098612289,1,0
1,2,1,20,1,5,1,3,6,6,2,1.414213562,1.098612289,1,0
3,7,2,14,2,4,5,4,5,12,6,2.449489743,1.945910149,1,1
3,2,1,16,2,7,2,3,6,1,1,1,0.693147181,1,0
2,3,2,11,3,7,2,2,2,6,3,1.732050808,1.386294361,1,0
3,2,2,20,2,3,1,1,6,0,5,2.236067977,1.791759469,0,0
2,1,2,3,2,4,1,2,,4,12,3.464101615,2.564949357,1,0
3,1,2,19,2,7,2,1,3,6,3,1.732050808,1.386294361,1,0
1,6,2,19,2,2,2,2,1,7,5,2.236067977,1.791759469,1,0
3,6,2,15,1,4,1,3,4,0,5,2.236067977,1.791759469,0,0
3,2,2,17,3,7,2,1,6,1,4,2,1.609437912,1,0
3,6,2,13,3,3,3,4,7,12,2,1.414213562,1.098612289,1,1
2,2,2,5,3,6,1,1,,0,5,2.236067977,1.791759469,0,0
