"Time","Shirt","Goggles","Flippers"
16.55,1,1,1
17.22,1,1,1
17.7,1,1,1
21.53,1,1,0
22.49,1,1,0
22.5,1,1,0
17.77,1,0,1
17.43,1,0,1
18.7,1,0,1
23.78,1,0,0
24.29,1,0,0
24.89,1,0,0
16.14,0,1,1
16.39,0,1,1
16.4,0,1,1
19.97,0,1,0
19.95,0,1,0
20.32,0,1,0
16.85,0,0,1
17.8,0,0,1
16.81,0,0,1
22.63,0,0,0
22.81,0,0,0
22.31,0,0,0
