yield,variety,label,density
0.1316,2,B,2.14
0.1091,2,B,2.65
0.0937,2,B,3.8
0.0722,2,B,5.24
0.0531,2,B,7.83
0.0497,2,B,8.72
0.0378,2,B,10.11
0.0333,2,B,16.08
0.0245,2,B,21.22
0.0183,2,B,25.71
0.1168,3,C,2.48
0.0916,3,C,3.53
0.0727,3,C,4.45
0.0528,3,C,6.23
0.0488,3,C,8.23
0.0391,3,C,9.59
0.0303,3,C,16.87
0.0242,3,C,18.69
0.02,3,C,25.74
0.0163,3,C,30.33
