ID,FamilyImp,FrndsImp,LesrImp,PoltcImp,WorkImp,RelgnImp,FeelHappy,StateofHlth,SatisfLife,Sex,Age,HighEducLev,SocialClass,Income,SizeTown,VeryHappy,AgeGroup4,MostTrusted,MaritalStatus,HwManyMembershp
2246,1,3,2,4,2,4,2,2,8,1,49,9,,10,3,0,2,1,2,2
2287,1,1,1,3,1,4,1,2,5,1,19,8,4,2,4,1,1,0,1,2
2298,1,2,1,2,1,4,2,1,10,2,29,6,4,8,5,0,1,0,2,2
2308,1,1,1,3,2,3,1,1,7,1,19,8,2,1,7,1,1,0,1,2
2353,1,1,1,3,2,3,2,1,4,2,33,9,,8,1,0,1,1,2,2
2354,1,1,1,3,2,3,1,3,7,2,27,9,3,8,7,1,1,1,2,2
2383,1,1,1,3,2,4,2,2,8,1,29,9,2,10,7,0,1,1,1,2
2397,1,2,1,2,1,3,2,3,8,1,48,6,4,10,7,0,2,0,2,2
2405,2,2,2,3,2,4,2,2,7,1,31,8,3,9,7,0,1,1,2,2
2421,1,2,2,4,1,3,2,2,8,2,32,8,4,9,7,0,1,1,2,2
2445,1,3,1,3,1,2,2,1,8,1,52,7,, ,6,0,3,0,2,2
2448,1,2,2,3,1,3,2,2,9,1,23,9,5,2,7,0,1,1,2,2
2506,1,1,1,2,2,3,2,2,4,2,47,7,4,6,4,0,2,1,2,2
2513,1,2,2,3,2,1,1,1,8,2,35,7,3,5,3,1,2,1,2,2
2537,1,2,2,,2,,1,2,7,2,33,6,4,7,6,1,1,0,2,2
2538,1,1,1,,2,3,1,1,9,2,33,8,,10,5,1,1,0,2,2
2578,1,1,1,3,1,3,1,1,9,1,55,7,,7,4,1,3,0, ,2
2584,1,3,2,2,2,3,2,2,5,1,34,8,4,2,3,0,1, ,2,2
2608,1,1,2,3,2,3,2,3,9,2,71,6,4,1,7,0,4,0,3,2
2611,1,1,1,3,1,,2,2,7,1,72,6,4,6,7,0,4,1,1,2
2635,1,2,2,3,1,3,2,3,6,1,46,8,4,3,7,0,2,0,3,2
2654,1,2,1,3,2,3,2,2,8,2,20,9,3,9,7,0,1,0,1,2
2665,1,1,2,3,2,3,2,2,7,1,72,6,4,4,3,0,4,1,2,2
2685,1,1,2,4,2,4,1,1,9,2,21,9,4,4,7,1,1,1,2,2
2717,2,2,1,3,1,3,2,2,6,1,49,7,4,5,7,0,2,1,3,2
2723,1,1,2,3,1,4,1,2,8,1,70,6,4,2,7,1,4,0,2,2
2729,1,2,2,3,,1,1,2,10,2,80,6,, , ,1,4,1,2,2
2745,1,1,1,2,1,4,1,1,7,1,56,7,, ,1,1,3,1, ,2
2789,2,1,1,3,2,4,2,2,9,1,58,7,3,6,4,0,3,1,3,2
2798,1,1,1,2,1,3,1,2,8,2,37,7,,3,4,1,2,1,3,2
2809,1,1,2,2,1,2,2,2,,2,64,6,3,2,5,0,3,0,2,2
2812,1,1,2,3,1,3,1,1,,2,51,7,4,5,4,1,3,1,2,2
2814,1,2,2,2,2,4,2,2,7,2,42,9,3,10,4,0,2,0,2,2
2819,1,1,1,2,2,1,1,1,10,2,34,6,4,9,4,1,1,1,2,2
2839,2,,3,4,4,,2,4,10,2,78,,4, ,7,0,4,0,2,2
2858,1,2,1,4,2,4,2,2,8,1,49,9,2,10,7,0,2,1,2,2
2866,1,1,1,1,1,4,1,2,10,2,35,8,,6,6,1,2,1,2,2
2881,1,1,3,1,1,4,2,3,10,1,49,9,2,10,6,0,2,1,2,2
2892,1,2,2,3,2,4,1,1,8,2,37,6,2,8,3,1,2,0,2,2
2915,2,1,1,4,2,4,2,1,8,2,23,8,4,3,2,0,1,0, ,2
2960,1,2,2,4,3,2,1,1,10,2,75,6,3,3,2,1,4,1,2,2
1009,1,1,1,2,1,4,2,1,8,2,46,7,3,1,5,0,2,0,3,3
1014,1,1,1,2,1,4,1,1,9,1,64,7,4,4,5,1,3,0,2,3
1075,1,1,1,2,2,4,1,1,8,1,22,8,4,2,7,1,1,1,1,3
1089,2,2,3,3,2,2,2,2,7,1,55,9,4,1,7,0,3,1,3,3
1109,1,2,2,2,1,2,2,2,8,1,36,9,2,10,7,0,2,1,2,3
1226,1,1,2,3,2,3,2,2,6,2,66,8,4, ,7,0,4,0,1,3
1253,1,1,1,2,2,4,2,2,5,2,52,9,3,8,6,0,3,1,2,3
1258,1,1,1,3,2,1,1,1,10,2,24,9,,9,7,1,1,1,2,3
1267,1,1,1,2,2,3,2,1,8,2,41,8,3,6,7,0,2,1,3,3
1335,1,2,1,2,2,1,1,1,10,2,62,6,4,2,6,1,3,0,2,3
1360,1,2,1,3,2,3,2,2,8,1,42,8,3,9,7,0,2,1,2,3
1370,1,1,1,2,2,3,2,1,8,2,54,9,,10,3,0,3,1,2,3
1412,1,2,2,3,2,4,2,2,7,1,45,9,3,6,7,0,2,1,2,3
1469,2,2,2,4,2,4,2,1,7,2,49,8,2,10,7,0,2,1,2,3
1502,1,3,1,3,2,2,2,2,8,2,60,6,4,9,4,0,3,0,2,3
1517,1,2,1,3,2,3,2,3,10,1,27,7,4,7,7,0,1,0,2,3
1584,1,1,1,4,1,4,1,3,7,1,52,7,4,7,5,1,3,1,2,3
1673,1,1,1,3,2,3,2,2,7,1,36,8,3,8,7,0,2,1,1,3
1706,1,1,2,2,2,2,2,3,10,2,59,6,4,1,7,0,3,1,2,3
1714,1,1,,,,,2,3,9,1,,6,5, ,7,0, ,0,1,3
1770,1,2,2,3,2,4,1,2,10,1,57,6,4,8,3,1,3,0,2,3
1787,1,1,1,1,1,2,1,3,10,2,51,8,4,1,1,1,3,1,3,3
1790,1,1,1,3,2,4,2,2,9,1,35,7,4,9,1,0,2,0,2,3
1814,1,2,1,3,2,4,2,1,8,1,39,8,2,10,3,0,2,1, ,3
1819,2,1,1,2,3,2,1,1,7,1,71,7,3,3,3,1,4,0,2,3
1879,1,2,2,3,2,3,2,1,9,2,50,6,,7,3,0,3,1,2,3
1889,1,2,2,4,3,1,2,1,8,2,25,9,3,8,4,0,1,1,1,3
1928,1,4,2,4,2,2,2,2,5,1,38,6,2,6,7,0,2,0,1,3
1957,1,1,1,2,1,4,2,2,8,2,60,6,2,10,6,0,3,1,2,3
1978,1,1,1,3,2,2,2,1,8,1,20,8,, ,4,0,1,1,1,3
2014,1,3,3,3,1,2,2,3,8,1,60,1,3,6,3,0,3,0,2,3
2028,1,2,3,4,2,4,1,1,9,1,65,1,4,6,3,1,4,0,2,3
2052,1,1,1,3,1,2,2,2,6,2,19,7,4,4,6,0,1,1,1,3
2054,1,2,2,2,1,2,2,3,5,2,31,6,4,1,2,0,1,0,1,3
2085,1,1,3,4,2,2,2,2,9,1,68,6,4,2,5,0,4,0,2,3
2089,1,1,1,2,1,3,2,2,8,2,63,6,4,4,1,0,3,0,2,3
2091,1,2,1,2,2,4,1,1,10,1,53,8,2,9,1,1,3,1,2,3
2143,1,1,1,3,1,2,1,1,10,1,58,6,4,6,5,1,3,1,2,3
2179,1,1,1,2,2,4,2,3,9,1,79,8,3,4,5,0,4,1,2,3
2184,1,2,1,2,2,4,1,1,10,1,57,9,2,10,5,1,3,1,2,3
