"Year","Members","Crowd"
1993,5750,11097
1994,6158,12437
1995,6893,10318
1996,10267,18672
1997,16769,19550
1998,16108,16669
1999,16931,22416
2000,20295,27283
2001,18330,28369
2002,22288,27565
2003,25303,31400
